"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Deadlift",2013-10-02,101,135,,5,,"135 lb x 5 reps","66"
"Barbell Deadlift",2013-10-02,102,405,,3,,"405 lb x 3 reps","326"
"Barbell Deadlift",2013-10-08,1,135,,5,,"135 lb x 5 reps","66"
"Barbell Deadlift",2013-10-08,2,405,,3,,"405 lb x 3 reps","326"
"Barbell Deadlift",2013-10-08,3,405,,1,,"405 lb x 1 reps","223"
"Barbell Deadlift",2013-10-08,4,405,,1,,"405 lb x 1 reps","223"
"Barbell Deadlift",2013-10-12,1,225,,5,,"225 lb x 5 reps","121"
"Barbell Deadlift",2013-10-12,2,405,,1,,"405 lb x 1 reps","223"
"Barbell Deadlift",2013-10-18,1,135,,5,,"135 lb x 5 reps","66"
"Barbell Deadlift",2013-10-18,2,225,,5,,"225 lb x 5 reps","121"
"Barbell Deadlift",2013-10-18,3,315,,5,,"315 lb x 5 reps","222"
"Barbell Deadlift",2013-10-18,4,385,,1,,"385 lb x 1 reps","195"
"Barbell Deadlift",2013-10-18,5,385,,1,,"385 lb x 1 reps","195"
"Barbell Deadlift",2013-10-18,6,365,,3,,"365 lb x 3 reps","249"
"Barbell Deadlift",2013-10-25,1,135,,5,,"135 lb x 5 reps","66"
"Barbell Deadlift",2013-10-25,2,225,,3,,"225 lb x 3 reps","97"
"Barbell Deadlift",2013-10-25,3,315,,3,,"315 lb x 3 reps","178"
"Barbell Deadlift",2013-10-25,4,405,,1,,"405 lb x 1 reps","223"
"Barbell Deadlift",2013-10-25,5,405,,1,,"405 lb x 1 reps","223"
"Barbell Deadlift",2013-10-25,6,385,,1,,"385 lb x 1 reps","195"
"Barbell Deadlift",2013-10-25,7,365,,2,,"365 lb x 2 reps","210"
